id,url,date,content,replyCount,retweetCount,likeCount,quoteCount
1499170489972969476,https://twitter.com/RhonddaBryant/status/1499170489972969476,2022-03-02 23:51:12+00:00,"The only statement I want to hear from Roman Abramovich is ‘this invasion is illegal, Vladimir Putin send the Russian troops home immediately’.",538,2816,18517,188
1498380255152726023,https://twitter.com/nypost/status/1498380255152726023,2022-02-28 19:31:06+00:00,Billionaire investor Bill Ackman says US troops must defend Ukraine from Russia https://t.co/VmsRTlnq86 https://t.co/OpPpINEpuq,536,79,424,110
1497340335508316169,https://twitter.com/DineshDSouza/status/1497340335508316169,2022-02-25 22:38:49+00:00,"The Left is beating the jingoistic drums on #Ukraine because they know they have a blithering idiot in the Oval Office who barely knows what’s going on around him, let alone on the Russian border. Sorry guys but he’s YOUR moron—not ours.",535,1270,5973,49
1496979753127055361,https://twitter.com/antonioguterres/status/1496979753127055361,2022-02-24 22:46:00+00:00,"The use of force by one country against another is wrong, against the @UN Charter, and unacceptable.

But it is not irreversible.
  
I repeat my appeal to President Putin:

Stop the military operation in Ukraine.

Bring the troops back to Russia. https://t.co/gIxI8ffIYJ",532,1385,3941,153
1492218267099975684,https://twitter.com/amanpour/status/1492218267099975684,2022-02-11 19:25:33+00:00,Official from a NATO ally tells me Pres Biden told them today the US does believe Vladimir Putin has decided to attack Ukraine. Next week.,530,1982,4439,653
1497708467997585412,https://twitter.com/newtgingrich/status/1497708467997585412,2022-02-26 23:01:39+00:00,"President Zelensky is a profile in courage while President Biden is a profile in timidity, confusion and irresponsibility. As an American it is embarrassing to have such an unnecessary failure. Ukraine can defeat Putin with our help but no American troops.",526,769,4654,80
1497353497402314755,https://twitter.com/VictorianCHO/status/1497353497402314755,2022-02-25 23:31:07+00:00,"Having seen the horrific health consequences of war in Afghanistan, I am appalled at the unfolding situation in #Ukraine today. There is no moral defence for such tragedy.",524,585,6630,47
1495102667257004033,https://twitter.com/NotHoodlum/status/1495102667257004033,2022-02-19 18:27:08+00:00,Scary Palin: “I can see the war in Ukraine from my house.” https://t.co/NE0oNQV84o,522,234,2343,47
1498705685885894669,https://twitter.com/KyivIndependent/status/1498705685885894669,2022-03-01 17:04:14+00:00,"⚡️BREAKING: European Parliament recommends giving Ukraine EU candidate status.

The decision follows President Zelensky’s speech, where he called on the EU to “prove” that the union is with Ukraine. The resolution also demands that Russia withdraws all its troops from Ukraine.",518,10347,58442,568
1495141743498436609,https://twitter.com/McFaul/status/1495141743498436609,2022-02-19 21:02:24+00:00,"During his 2 decades in power, Putin has gone to war many times: Chechnya 1999, Georgia 2008, Syria 2015, Ukraine 2014. In Putin's view, he won every time. Given this perceived track record, he believes he can win again now.",515,2324,8009,130
